Name,2017,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790,Year of first census,No significant change since,FIPS Code
UNITED STATES,319812546,308745538,281421906,248709873,226545805,203211926,179323175,151325798,132164569,123202624,106021537,92228496,76212168,62979766,50189209,38558371,31443321,23191876,17063353,12860702,9638453,7239881,5308483,3929214,1790,1900,
Alabama,4833722,4779736,4447100,4040587,3893888,3444165,3266740,3061743,2832961,2646248,2348174,2138093,1828697,1513401,1262505,996992,964201,771623,590756,309527,127901,9046,1250,,1800,1820,1
Alaska,739795,710231,626932,550043,401851,300382,226167,128643,72524,59278,55036,64356,63592,32052,33426,,,,,,,,,,1880,1880,2
Arizona,7016270,6392017,5130632,3665228,2718215,1770900,1302161,749587,499261,435573,334162,204354,122931,88243,40440,9658,6482,,,,,,,,1860,1870,4
Arkansas,2959373,2915918,2673400,2350725,2286435,1923295,1786272,1909511,1949387,1854482,1752204,1574449,1311564,1128211,802525,484471,435450,209897,97574,30388,14273,1062,,,1810,1830,5
California,39536653,37253956,33871648,29760021,23667902,19953134,15717204,10586223,6907387,5677251,3426861,2377549,1485053,1213398,864694,560247,379994,92597,,,,,,,1850,1860,6
Colorado,5607154,5029196,4301261,3294394,2889964,2207259,1753947,1325089,1123296,1035791,939629,799024,539700,413249,194327,39864,34277,,,,,,,,1860,1860,8
Connecticut,3588184,3574097,3405565,3287116,3107576,3031709,2535234,2007280,1709242,1606903,1380631,1114756,908420,746258,622700,537454,460147,370792,309978,297675,275248,261942,251002,237946,1790,1790,9
Delaware,925749,897934,783600,666168,594338,548104,446292,318085,266505,238380,223003,202322,184735,168493,146608,125015,112216,91532,78085,76748,72749,72674,64273,59096,1790,1790,10
District of Columbia,646449,601723,572059,606900,638333,756510,763956,802178,663091,486869,437571,331069,278718,230392,177624,131700,75080,51687,33745,30261,23336,15471,8144,,1800,1800,11
Florida,19552860,18801310,15982378,12937926,9746324,6789443,4951560,2771305,1897414,1468211,968470,752619,528542,391422,269493,187748,140424,87445,54477,34730,,,,,1830,1830,12
Georgia,9992167,9687653,8186453,6478216,5463105,4589575,3943116,3444578,3123723,2908506,2895832,2609121,2216331,1837353,1542180,1184109,1057286,906185,691392,516823,340989,251407,162686,82548,1790,1810,13
Hawaii,1427538,1360301,1211537,1108229,964691,768561,632772,499794,422770,368300,255881,191874,154001,,,,,,,,,,,,1900,1900,15
Idaho,1716943,1567582,1293953,1006749,943935,712567,667191,588637,524873,445032,431866,325594,161772,88548,32610,14999,,,,,,,,,1870,1870,16
Illinois,12882135,12830632,12419293,11430602,11426518,11113976,10081158,8712176,7897241,7630654,6485280,5638591,4821550,3826352,3077871,2539891,1711951,851470,476183,157445,55211,12282,2458,,1800,1820,17
Indiana,6570902,6483802,6080485,5544159,5490224,5193669,4662498,3934224,3427796,3238503,2930390,2700876,2516462,2192404,1978301,1680637,1350428,988416,685866,343031,147178,24520,2632,,1800,1820,18
Iowa,3090416,3046355,2926324,2776755,2913808,2824376,2757537,2621073,2538268,2470939,2404021,2224771,2231853,1912297,1624615,1194020,674913,192214,43112,,,,,,1840,1850,19
Kansas,2893957,2853118,2688418,2477574,2363679,2246578,2178611,1905299,1801028,1880999,1769257,1690949,1470495,1428108,996096,364399,107206,,,,,,,,1860,1860,20
Kentucky,4395295,4339367,4041769,3685296,3660777,3218706,3038156,2944806,2845627,2614589,2416630,2289905,2147174,1858635,1648690,1321011,1155684,982405,779828,687917,564317,406511,220955,73677,1790,1790,21
Louisiana,4625470,4533372,4468976,4219973,4205900,3641306,3257022,2683516,2363880,2101593,1798509,1656388,1381625,1118588,939946,726915,708002,517762,352411,215739,153407,76556,,,1810,1820,22
Maine,1335907,1328361,1274923,1227928,1124660,992048,969265,913774,847226,797423,768014,742371,694466,661086,648936,626915,628279,583169,501793,399455,298335,228705,151719,96540,1790,1850,23
Maryland,5928814,5773552,5296486,4781468,4216975,3922399,3100689,2343001,1821244,1631526,1449661,1295346,1188044,1042390,934943,780894,687049,583034,470019,447040,407350,380546,341548,319728,1790,1800,24
Massachusetts,6859819,6547629,6349097,6016425,5737037,5689170,5148578,4690514,4316721,4249614,3852356,3366416,2805346,2238947,1783085,1457351,1231066,994514,737699,610408,523287,472040,422845,378787,1790,1870,25
Michigan,9895622,9883640,9938444,9295297,9262078,8875083,7823194,6371766,5256106,4842325,3668412,2810173,2420982,2093890,1636937,1184059,749113,397654,212267,28004,7452,4762,3757,,1800,1840,26
Minnesota,5420380,5303925,4919479,4375099,4075970,3804971,3413864,2982483,2792300,2563953,2387125,2075708,1751394,1310283,780773,439706,172023,6077,,,,,,,1850,1860,27
Mississippi,2991207,2967297,2844658,2573216,2520638,2216912,2178141,2178914,2183796,2009821,1790618,1797114,1551270,1289600,1131597,827922,791305,606526,375651,136621,75448,31306,7600,,1800,1820,28
Missouri,6044171,5988927,5595211,5117073,4916686,4676501,4319813,3954653,3784664,3629367,3404055,3293335,3106665,2679185,2168380,1721295,1182012,682044,383702,140455,66586,19783,,,1810,1840,29
Montana,1050493,989415,902195,799065,786690,694409,674767,591024,559456,537606,548889,376053,243329,142924,39159,20595,,,,,,,,,1870,1870,30
Nebraska,1868516,1826341,1711263,1578385,1569825,1483493,1411330,1325510,1315834,1377963,1296372,1192214,1066300,1062656,452402,122993,28841,,,,,,,,1860,1890,31
Nevada,2998039,2700551,1998257,1201833,800493,488738,285278,160083,110247,91058,77407,81875,42335,47355,62266,42941,6857,,,,,,,,1860,1870,32
New Hampshire,1342795,1316470,1235786,1109252,920610,737681,606921,533242,491524,465293,443083,430572,411588,376530,346991,318300,326073,317976,284574,269328,244161,214460,183858,141885,1790,1790,33
New Jersey,9005644,8791894,8414350,7730188,7364823,7168164,6066782,4835329,4160165,4041334,3155900,2537167,1883669,1444933,1131116,906096,672035,489555,373306,320823,277575,245562,211149,184139,1790,1790,34
New Mexico,2088070,2059179,1819046,1515069,1302894,1016000,951023,681187,531818,423317,360350,327301,195310,160282,119565,91874,87034,61547,,,,,,,1850,1870,35
New York,19849399,19378102,18976457,17990455,17558072,18236967,16782304,14830192,13479142,12588066,10385227,9113614,7268894,6003174,5082871,4382759,3880735,3097394,2428921,1918608,1372812,959049,589051,340120,1790,1790,36
North Carolina,9848060,9535483,8049313,6628637,5881766,5082059,4556155,4061929,3571623,3170276,2559123,2206287,1893810,1617949,1399750,1071361,992622,869039,753419,737987,638829,556526,478103,393751,1790,1790,37
North Dakota,723393,672591,642200,638800,652717,617761,632446,619636,641935,680845,646872,577056,319146,190983,36909,2405,,,,,,,,,1870,1890,38
Ohio,11570808,11536504,11353140,10847115,10797630,10652017,9706397,7946627,6907612,6646697,5759394,4767121,4157545,3672329,3198062,2665260,2339511,1980329,1519467,937903,581434,230760,42159,,1800,1840,39
Oklahoma,3850568,3751351,3450654,3145585,3025290,2559229,2328284,2233351,2336434,2396040,2028283,1657155,790391,258657,,,,,,,,,,,1890,1900,40
Oregon,4142776,3831074,3421399,2842321,2633105,2091385,1768687,1521341,1089684,953786,783389,672765,413536,317704,174768,90923,52465,12093,,,,,,,1850,1860,41
Pennsylvania,12805537,12702379,12281054,11881643,11863895,11793909,11319366,10498012,9900180,9631350,8720017,7665111,6302115,5258113,4282891,3521951,2906215,2311786,1724033,1348233,1049458,810091,602365,434373,1790,1790,42
Rhode Island,1059639,1052567,1048319,1003464,947154,946725,859488,791896,713346,687497,604397,542610,428556,345506,276531,217353,174620,147545,108830,97199,83059,76931,69122,68825,1790,1870,44
South Carolina,4774839,4625364,4012012,3486703,3121820,2590516,2382594,2117027,1899804,1738765,1683724,1515400,1340316,1151149,995577,705606,703708,668507,594398,581185,502741,415115,345591,249073,1790,1790,45
South Dakota,844877,814180,754844,696004,690768,665507,680514,652740,642961,692849,636547,583888,401570,348600,98268,11776,4837,,,,,,,,1860,1890,46
Tennessee,6495978,6346105,5689283,4877185,4591120,3923687,3567089,3291718,2915841,2616556,2337885,2184789,2020616,1767518,1542359,1258520,1109801,1002717,829210,681904,422823,261727,105602,35691,1790,1790,47
Texas,26448193,25145561,20851820,16986510,14229191,11196730,9579677,7711194,6414824,5824715,4663228,3896542,3048710,2235527,1591749,818579,604215,212592,,,,,,,1850,1850,48
Utah,3101833,2763885,2233169,1722850,1461037,1059273,890627,688862,550310,507847,449396,373351,276749,210779,143963,86336,40273,11380,,,,,,,1850,1870,49
Vermont,623657,625741,608827,562758,511456,444330,389881,377747,359231,359611,352428,355956,343641,332422,332286,330551,315098,314120,291948,280652,235981,217895,154465,85425,1790,1790,50
Virginia,8260405,8001024,7078515,6187358,5346818,4648494,3966949,3318680,2677773,2421851,2309187,2061612,1854184,1655980,1512565,1225163,1219630,1119348,1025227,1044054,938261,877683,807557,691737,1790,1860,51
Washington,7405743,6724540,5894121,4866692,4132156,3409169,2853214,2378963,1736191,1563396,1356621,1141990,518103,357232,75116,23955,11594,1201,,,,,,,1850,1870,53
West Virginia,1854304,1852994,1808344,1793477,1949644,1744237,1860421,2005552,1901974,1729205,1463701,1221119,958800,762794,618457,442014,376688,302313,224537,176924,136808,105469,78592,55873,1790,1860,54
Wisconsin,5742713,5686986,5363675,4891769,4705767,4417731,3951777,3434575,3137587,2939006,2632067,2333860,2069042,1693330,1315497,1054670,775881,305391,30945,3635,1444,,,,1820,1850,55
Wyoming,579315,563626,493782,453588,469557,332416,330066,290529,250742,225565,194402,145965,92531,62555,20789,9118,,,,,,,,,1870,1870,56